aX,aY,aZ,gX,gY,gZ
-0.429,-0.058,1.468,69.824,550.354,-40.710
-0.298,0.041,1.145,93.323,573.547,-45.776
-0.162,0.098,0.784,105.957,565.552,-53.589
-0.142,0.044,0.556,106.445,545.288,-62.805
-0.178,0.025,0.213,84.412,510.559,-61.279
-0.103,-0.032,-0.210,46.570,471.497,-56.885
0.068,-0.151,-0.439,3.052,441.162,-55.481
0.165,-0.206,-0.689,-41.138,413.330,-59.509
0.191,-0.284,-0.802,-69.702,392.883,-69.336
0.153,-0.407,-0.878,-80.383,373.657,-75.623
0.140,-0.482,-1.034,-87.830,345.764,-72.266
0.137,-0.470,-1.213,-101.624,314.209,-65.247
0.144,-0.443,-1.394,-112.183,273.437,-63.049
0.129,-0.498,-1.569,-109.253,215.881,-62.561
0.136,-0.504,-1.781,-102.478,140.259,-54.504
0.236,-0.554,-1.873,-92.834,51.086,-35.828
0.218,-0.609,-1.838,-78.491,-47.668,-7.996
0.234,-0.605,-1.728,-61.279,-155.212,27.100
0.241,-0.606,-1.518,-36.316,-251.709,66.284
0.217,-0.574,-1.279,-14.832,-335.937,101.868
0.105,-0.520,-1.087,-12.024,-409.607,126.709
0.005,-0.381,-0.762,-29.907,-470.825,143.494
-0.148,-0.274,-0.288,-37.659,-517.029,156.067
-0.299,-0.109,0.115,-16.052,-557.983,163.513
-0.314,0.106,0.521,16.541,-588.318,165.161
-0.270,0.191,0.922,39.246,-599.060,154.846
-0.361,0.158,1.290,31.738,-586.243,135.071
-0.313,0.191,1.633,-13.489,-543.091,117.798
-0.234,0.254,1.733,-62.378,-475.464,100.403
